;Имя,;отчество;Фамилия;Login;Password;Role;;Role
1;Сергей;Пантелеймонович;Ефремов ;loginDEppn2018;6}i+FD;1;1;Клиент
2;Тамара;Валентиновна;Родионова ;loginDElqb2018;RNynil;1;2;Администратор
3;Галина;Улебовна;Миронова ;loginDEydn2018;34I}X9;2;3;Менеджер
4;Роман;Иринеевич;Сидоров ;loginDEijg2018;4QlKJW;2;;
5;Парфений;Всеволодович;Ситников ;loginDEdpy2018;MJ0W|f;2;;
6;Роман;Геласьевич;Никонов ;loginDEwdm2018;&PynqU;2;;
7;Владимир;Матвеевич;Щербаков ;loginDEdup2018;JM+2{s;1;;
8;Мартын;Михаилович;Кулаков ;loginDEhbm2018;9aObu4;2;;
9;Оксана;Лаврентьевна;Сазонова ;loginDExvq2018;hX0wJz;3;;
10;Варлам;Мэлорович;Архипов ;loginDErks2018;LQNSjo;2;;
11;Ираида;Мэлоровна;Устинова ;loginDErvb2018;ceAf&R;3;;
12;Георгий;Альбертович;Лукин ;loginDEulo2018;ceAfwR;3;;
13;Эдуард;Валентинович;Кононов ;loginDEgfw2018;3c2Ic1;1;;
14;Клавдия;Альбертовна;Орехова ;loginDEmxb2018;ZPXcRS;2;;
15;Яков;Эдуардович;Яковлев ;loginDEgeq2018;&&Eim0;2;;
16;Мэлс;Семёнович;Воронов ;loginDEkhj2018;Pbc0t{;1;;
17;Ия;Данииловна;Вишнякова ;loginDEliu2018;32FyTl;1;;
18;Фёдор;Вадимович;Третьяков ;loginDEsmf2018;{{O2QG;1;;
19;Максим;Ильяович;Макаров ;loginDEutd2018;GbcJvC;2;;
20;Маргарита;Анатольевна;Шубина ;loginDEpgh2018;YV2lvh;2;;
21;Ангелина;Владленовна;Блинова ;loginDEvop2018;pBP8rO;2;;
22;Владлен;Фролович;Воробьёв ;loginDEwjo2018;EQaD|d;1;;
23;Прасковья;Фёдоровна;Сорокина ;loginDEbur2018;aZKGeI;2;;
24;Яков;Антонович;Давыдов ;loginDEszw2018;EGU{YE;1;;
25;Евдокия;Анатольевна;Рыбакова ;loginDExsu2018;*2RMsp;1;;
26;Геннадий;Фролович;Маслов ;loginDEztn2018;nJBZpU;1;;
27;Элеонора;Аристарховна;Цветкова ;loginDEtmn2018;UObB}N;1;;
28;Ростислав;Александрович;Евдокимов ;loginDEhep2018;SwRicr;1;;
29;Венера;Станиславовна;Никонова ;loginDEevr2018;zO5l}l;1;;
30;Егор;Антонович;Громов ;loginDEnpa2018;M*QLjf;1;;
31;Валерия;Борисовна;Суворова ;loginDEgyt2018;Pav+GP;3;;
32;Елизавета;Романовна;Мишина ;loginDEbrr2018;Z7L|+i;1;;
33;Ольга;Аркадьевна;Зимина ;loginDEyoo2018;UG1BjP;3;;
34;Игнатий;Антонинович;Игнатьев ;loginDEaob2018;3fy+3I;3;;
35;Зинаида;Витальевна;Пахомова ;loginDEwtz2018;&GxSST;1;;
36;Владимир;Федосеевич;Устинов ;loginDEctf2018;sjt*3N;3;;
37;Мэлор;Вячеславович;Кулаков ;loginDEipm2018;MAZl6|;2;;
38;Авксентий;Брониславович;Сазонов ;loginDEjoi2018;o}C4jv;1;;
39;Наина;Брониславовна;Бурова ;loginDEwap2018;4hny7k;2;;
40;Демьян;Федосеевич;Фадеев ;loginDEaxm2018;BEc3xq;1;;
41;Дарья;Якуновна;Бобылёва ;loginDEsmq2018;ATVmM7;1;;
42;Созон;Арсеньевич;Виноградов ;loginDEeur2018;n4V{wP;1;;
43;Владлен;Ефимович;Гордеев ;loginDEvke2018;WQLXSl;1;;
44;Зинаида;Валерьевна;Иванова ;loginDEvod2018;0EW93v;2;;
45;Руслан;Дамирович;Гусев ;loginDEjaw2018;h6z&Ky;1;;
46;Дмитрий;Иванович;Маслов ;loginDEpdp2018;8NvRfC;2;;
47;Ульяна;Семёновна;Антонова ;loginDEjpp2018;oMOQq3;1;;
48;Людмила;Владимировна;Орехова ;loginDEkiy2018;BQzsts;2;;
49;Жанна;Куприяновна;Авдеева ;loginDEhmn2018;a|Iz|7;2;;
50;Фрол;Варламович;Кузнецов ;loginDEfmn2018;cw3|03;1;;
